fecha,vacuna_fabricante,dosis,departamento,cantidad
2021-07-15,pfizer,1ra_dosis,beni,0.0
2021-07-15,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-15,pfizer,1ra_dosis,cochabamba,17591.0
2021-07-15,pfizer,1ra_dosis,la paz,29517.0
2021-07-15,pfizer,1ra_dosis,oruro,8750.0
2021-07-15,pfizer,1ra_dosis,pando,0.0
2021-07-15,pfizer,1ra_dosis,potosi,0.0
2021-07-15,pfizer,1ra_dosis,santa cruz,26520.0
2021-07-15,pfizer,1ra_dosis,tarija,5890.0
2021-07-15,pfizer,2da_dosis,beni,0.0
2021-07-15,pfizer,2da_dosis,chuquisaca,7822.0
2021-07-15,pfizer,2da_dosis,cochabamba,16859.0
2021-07-15,pfizer,2da_dosis,la paz,27413.0
2021-07-15,pfizer,2da_dosis,oruro,8265.0
2021-07-15,pfizer,2da_dosis,pando,0.0
2021-07-15,pfizer,2da_dosis,potosi,0.0
2021-07-15,pfizer,2da_dosis,santa cruz,25086.0
2021-07-15,pfizer,2da_dosis,tarija,5669.0
2021-07-15,sinopharm,1ra_dosis,beni,33331.0
2021-07-15,sinopharm,1ra_dosis,chuquisaca,81589.0
2021-07-15,sinopharm,1ra_dosis,cochabamba,242301.0
2021-07-15,sinopharm,1ra_dosis,la paz,322387.0
2021-07-15,sinopharm,1ra_dosis,oruro,68791.0
2021-07-15,sinopharm,1ra_dosis,pando,13690.0
2021-07-15,sinopharm,1ra_dosis,potosi,68917.0
2021-07-15,sinopharm,1ra_dosis,santa cruz,411059.0
2021-07-15,sinopharm,1ra_dosis,tarija,119175.0
2021-07-15,sinopharm,2da_dosis,beni,25676.0
2021-07-15,sinopharm,2da_dosis,chuquisaca,41080.0
2021-07-15,sinopharm,2da_dosis,cochabamba,134582.0
2021-07-15,sinopharm,2da_dosis,la paz,173171.0
2021-07-15,sinopharm,2da_dosis,oruro,34610.0
2021-07-15,sinopharm,2da_dosis,pando,8955.0
2021-07-15,sinopharm,2da_dosis,potosi,37520.0
2021-07-15,sinopharm,2da_dosis,santa cruz,193289.0
2021-07-15,sinopharm,2da_dosis,tarija,46037.0
2021-07-15,sputnik-v,1ra_dosis,beni,19011.0
2021-07-15,sputnik-v,1ra_dosis,chuquisaca,52142.0
2021-07-15,sputnik-v,1ra_dosis,cochabamba,162270.0
2021-07-15,sputnik-v,1ra_dosis,la paz,207463.0
2021-07-15,sputnik-v,1ra_dosis,oruro,42541.0
2021-07-15,sputnik-v,1ra_dosis,pando,7790.0
2021-07-15,sputnik-v,1ra_dosis,potosi,43628.0
2021-07-15,sputnik-v,1ra_dosis,santa cruz,281530.0
2021-07-15,sputnik-v,1ra_dosis,tarija,37893.0
2021-07-15,sputnik-v,2da_dosis,beni,634.0
2021-07-15,sputnik-v,2da_dosis,chuquisaca,1028.0
2021-07-15,sputnik-v,2da_dosis,cochabamba,1664.0
2021-07-15,sputnik-v,2da_dosis,la paz,2055.0
2021-07-15,sputnik-v,2da_dosis,oruro,783.0
2021-07-15,sputnik-v,2da_dosis,pando,542.0
2021-07-15,sputnik-v,2da_dosis,potosi,822.0
2021-07-15,sputnik-v,2da_dosis,santa cruz,2434.0
2021-07-15,sputnik-v,2da_dosis,tarija,815.0
2021-07-16,astrazeneca,1ra_dosis,beni,48178.0
2021-07-16,astrazeneca,1ra_dosis,chuquisaca,8016.0
2021-07-16,astrazeneca,1ra_dosis,cochabamba,31832.0
2021-07-16,astrazeneca,1ra_dosis,la paz,45127.0
2021-07-16,astrazeneca,1ra_dosis,oruro,8043.0
2021-07-16,astrazeneca,1ra_dosis,pando,19095.0
2021-07-16,astrazeneca,1ra_dosis,potosi,10155.0
2021-07-16,astrazeneca,1ra_dosis,santa cruz,38702.0
2021-07-16,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-16,astrazeneca,2da_dosis,beni,7717.0
2021-07-16,astrazeneca,2da_dosis,chuquisaca,3901.0
2021-07-16,astrazeneca,2da_dosis,cochabamba,19037.0
2021-07-16,astrazeneca,2da_dosis,la paz,15311.0
2021-07-16,astrazeneca,2da_dosis,oruro,5931.0
2021-07-16,astrazeneca,2da_dosis,pando,6127.0
2021-07-16,astrazeneca,2da_dosis,potosi,2275.0
2021-07-16,astrazeneca,2da_dosis,santa cruz,10051.0
2021-07-16,astrazeneca,2da_dosis,tarija,3241.0
2021-07-16,janssen,dosis_unica,beni,0.0
2021-07-16,janssen,dosis_unica,chuquisaca,0.0
2021-07-16,janssen,dosis_unica,cochabamba,0.0
2021-07-16,janssen,dosis_unica,la paz,532.0
2021-07-16,janssen,dosis_unica,oruro,0.0
2021-07-16,janssen,dosis_unica,pando,0.0
2021-07-16,janssen,dosis_unica,potosi,0.0
2021-07-16,janssen,dosis_unica,santa cruz,6761.0
2021-07-16,janssen,dosis_unica,tarija,0.0
2021-07-16,pfizer,1ra_dosis,beni,0.0
2021-07-16,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-16,pfizer,1ra_dosis,cochabamba,17593.0
2021-07-16,pfizer,1ra_dosis,la paz,29517.0
2021-07-16,pfizer,1ra_dosis,oruro,8771.0
2021-07-16,pfizer,1ra_dosis,pando,0.0
2021-07-16,pfizer,1ra_dosis,potosi,0.0
2021-07-16,pfizer,1ra_dosis,santa cruz,26518.0
2021-07-16,pfizer,1ra_dosis,tarija,5890.0
2021-07-16,pfizer,2da_dosis,beni,0.0
2021-07-16,pfizer,2da_dosis,chuquisaca,7828.0
2021-07-16,pfizer,2da_dosis,cochabamba,16869.0
2021-07-16,pfizer,2da_dosis,la paz,27237.0
2021-07-16,pfizer,2da_dosis,oruro,8271.0
2021-07-16,pfizer,2da_dosis,pando,0.0
2021-07-16,pfizer,2da_dosis,potosi,0.0
2021-07-16,pfizer,2da_dosis,santa cruz,25128.0
2021-07-16,pfizer,2da_dosis,tarija,5675.0
2021-07-16,sinopharm,1ra_dosis,beni,33792.0
2021-07-16,sinopharm,1ra_dosis,chuquisaca,83558.0
2021-07-16,sinopharm,1ra_dosis,cochabamba,243832.0
2021-07-16,sinopharm,1ra_dosis,la paz,322756.0
2021-07-16,sinopharm,1ra_dosis,oruro,70773.0
2021-07-16,sinopharm,1ra_dosis,pando,13869.0
2021-07-16,sinopharm,1ra_dosis,potosi,70821.0
2021-07-16,sinopharm,1ra_dosis,santa cruz,411902.0
2021-07-16,sinopharm,1ra_dosis,tarija,122559.0
2021-07-16,sinopharm,2da_dosis,beni,25879.0
2021-07-16,sinopharm,2da_dosis,chuquisaca,41705.0
2021-07-16,sinopharm,2da_dosis,cochabamba,140791.0
2021-07-16,sinopharm,2da_dosis,la paz,173448.0
2021-07-16,sinopharm,2da_dosis,oruro,35133.0
2021-07-16,sinopharm,2da_dosis,pando,9039.0
2021-07-16,sinopharm,2da_dosis,potosi,38061.0
2021-07-16,sinopharm,2da_dosis,santa cruz,205684.0
2021-07-16,sinopharm,2da_dosis,tarija,49037.0
2021-07-16,sputnik-v,1ra_dosis,beni,19478.0
2021-07-16,sputnik-v,1ra_dosis,chuquisaca,53398.0
2021-07-16,sputnik-v,1ra_dosis,cochabamba,168536.0
2021-07-16,sputnik-v,1ra_dosis,la paz,207490.0
2021-07-16,sputnik-v,1ra_dosis,oruro,42541.0
2021-07-16,sputnik-v,1ra_dosis,pando,7824.0
2021-07-16,sputnik-v,1ra_dosis,potosi,43692.0
2021-07-16,sputnik-v,1ra_dosis,santa cruz,294287.0
2021-07-16,sputnik-v,1ra_dosis,tarija,37894.0
2021-07-16,sputnik-v,2da_dosis,beni,635.0
2021-07-16,sputnik-v,2da_dosis,chuquisaca,1884.0
2021-07-16,sputnik-v,2da_dosis,cochabamba,1667.0
2021-07-16,sputnik-v,2da_dosis,la paz,2062.0
2021-07-16,sputnik-v,2da_dosis,oruro,1058.0
2021-07-16,sputnik-v,2da_dosis,pando,542.0
2021-07-16,sputnik-v,2da_dosis,potosi,822.0
2021-07-16,sputnik-v,2da_dosis,santa cruz,2618.0
2021-07-16,sputnik-v,2da_dosis,tarija,815.0
2021-07-17,astrazeneca,1ra_dosis,beni,48222.0
2021-07-17,astrazeneca,1ra_dosis,chuquisaca,8017.0
