,beni,beni,beni,beni,beni,beni,chuquisaca,chuquisaca,chuquisaca,chuquisaca,chuquisaca,chuquisaca,cochabamba,cochabamba,cochabamba,cochabamba,cochabamba,cochabamba,la paz,la paz,la paz,la paz,la paz,la paz,oruro,oruro,oruro,oruro,oruro,oruro,pando,pando,pando,pando,pando,pando,potosi,potosi,potosi,potosi,potosi,potosi,santa cruz,santa cruz,santa cruz,santa cruz,santa cruz,santa cruz,tarija,tarija,tarija,tarija,tarija,tarija
2021-08-27,169,18,28,6,0,1,210,6,51,75,3,14,250,46,47,44,14,22,388,31,82,144,13,50,226,26,24,20,13,9,67,3,10,2,0,1,405,60,41,49,6,10,338,56,130,71,30,63,230,48,36,39,13,19
2021-08-28,169,18,28,6,0,1,212,6,50,77,3,14,247,46,48,44,13,23,392,31,81,146,12,50,224,26,24,20,13,9,67,3,9,2,0,1,405,60,41,49,6,9,356,58,142,78,29,70,230,48,36,39,12,18
2021-08-29,169,18,28,6,0,1,214,6,50,80,3,12,238,56,50,43,12,23,396,31,82,155,12,51,223,26,24,18,12,10,67,3,9,2,0,1,403,60,41,48,5,9,355,58,153,77,27,76,231,48,36,40,12,18
2021-08-30,169,18,28,5,0,1,217,6,50,82,3,11,228,65,51,40,12,22,401,31,80,162,12,51,223,26,24,14,12,11,67,3,8,2,0,1,400,60,41,46,3,8,353,58,153,78,26,74,232,48,36,40,12,16
2021-08-31,169,18,28,4,0,1,226,6,50,87,3,10,219,74,54,39,12,23,405,31,80,171,12,52,222,26,24,12,11,12,55,3,8,2,0,1,398,59,41,44,2,8,350,58,153,76,24,73,233,48,36,43,12,16
2021-09-01,169,18,26,4,0,1,234,6,50,87,3,10,219,84,54,33,13,22,408,31,78,170,13,48,222,26,24,14,12,12,55,3,11,2,0,0,398,59,41,41,2,6,348,58,153,80,24,67,232,50,36,40,12,14
2021-09-02,169,18,26,3,0,1,234,6,50,86,3,10,220,81,55,29,13,23,403,31,76,173,12,44,221,26,24,16,12,13,55,3,14,2,0,0,383,59,41,36,3,5,339,58,147,79,23,61,232,50,36,37,13,11
2021-09-03,169,18,26,3,0,1,234,6,50,84,2,10,234,62,49,31,12,24,416,31,73,173,11,40,230,26,24,17,12,14,55,3,14,1,0,0,394,59,41,34,4,5,337,59,141,72,24,57,237,50,36,35,12,10
2021-09-04,169,18,26,3,0,1,234,6,50,79,2,10,248,43,49,31,12,24,416,31,71,170,12,40,229,26,24,17,13,14,55,3,14,1,0,0,405,59,41,31,4,5,334,59,139,69,23,55,242,50,36,36,10,11
2021-09-05,169,18,26,2,0,1,234,6,50,72,3,9,248,42,49,29,12,25,416,31,69,168,13,38,228,26,24,17,15,13,55,3,14,1,0,0,405,59,41,32,4,6,331,59,137,66,21,53,242,50,36,35,12,10
2021-09-06,169,18,26,2,0,1,234,6,50,65,4,9,249,42,49,30,12,25,416,31,68,165,14,38,227,26,24,17,16,12,67,3,14,1,0,0,405,59,41,29,4,6,344,59,141,63,20,51,242,50,36,35,13,11
2021-09-07,167,18,26,2,0,1,234,6,50,66,3,9,249,42,49,29,14,22,393,31,70,159,16,35,229,26,24,15,15,13,67,3,14,0,0,0,389,59,41,27,4,7,339,58,138,61,19,45,238,50,35,30,11,11
2021-09-08,166,18,26,2,0,1,249,6,50,70,3,7,249,42,49,31,14,19,381,31,71,152,17,33,230,26,24,15,14,14,67,3,14,1,0,0,373,59,41,27,4,8,334,58,137,66,19,45,234,49,34,25,10,11
2021-09-09,164,18,26,2,0,1,264,6,48,70,2,8,249,42,49,31,13,19,369,31,70,153,16,35,230,26,24,22,15,15,66,3,14,1,0,0,357,59,41,26,4,7,335,57,135,61,19,44,237,49,34,25,8,10
2021-09-10,163,18,26,2,0,1,264,6,46,70,2,10,249,42,49,31,13,18,368,31,70,152,15,37,230,26,24,28,17,15,66,3,14,0,0,0,359,60,41,27,5,6,335,55,133,59,18,42,239,49,34,22,6,9
2021-09-11,161,18,26,2,0,1,264,6,44,71,3,11,249,42,49,31,12,18,312,31,64,108,14,34,230,26,24,35,18,15,65,3,14,0,0,0,360,60,41,28,5,5,336,54,131,55,18,41,242,49,35,21,6,8
2021-09-12,161,18,26,2,0,1,264,6,45,69,3,10,249,42,49,32,12,17,257,31,59,63,12,33,230,26,24,42,19,16,65,3,14,0,0,0,375,61,41,27,5,6,336,54,135,55,17,42,242,49,35,19,6,8
2021-09-13,161,18,26,2,0,1,263,6,47,64,3,10,249,42,49,31,10,17,256,31,58,56,11,34,230,26,24,42,20,17,65,3,14,0,0,0,390,61,41,26,4,8,353,54,141,58,16,43,242,49,35,18,7,9
2021-09-14,174,19,26,2,0,1,257,6,50,60,2,12,249,44,49,24,9,18,258,31,60,55,9,31,223,26,24,41,22,18,65,3,14,1,0,0,405,59,41,31,3,8,353,53,142,57,17,41,236,49,32,16,9,10
2021-09-15,174,20,26,2,0,0,246,6,50,55,2,12,249,43,49,22,11,16,258,31,61,54,9,30,219,29,24,39,22,16,65,3,14,0,0,0,405,59,41,34,3,8,353,52,141,57,16,40,236,49,28,15,7,11
2021-09-16,174,20,26,2,0,0,234,6,50,59,2,12,249,42,48,17,13,17,258,31,61,58,9,30,214,33,24,40,21,15,65,3,14,0,0,0,405,59,41,36,2,7,358,48,142,56,13,38,236,49,28,13,4,12
2021-09-17,174,20,26,1,0,0,223,6,50,63,1,12,249,42,48,17,15,16,258,31,60,62,12,27,213,36,24,46,20,13,65,3,14,0,0,0,403,59,41,35,2,7,364,50,148,58,16,40,224,48,28,13,2,10
2021-09-18,174,20,26,1,0,1,227,6,50,65,1,12,249,42,48,20,14,16,258,31,60,61,11,28,213,36,24,49,20,12,65,3,14,0,0,0,403,59,41,32,2,6,369,51,155,53,19,39,213,43,28,12,2,10
2021-09-19,174,20,26,1,0,0,231,6,50,67,2,11,249,42,48,21,14,14,258,31,62,62,12,27,213,36,24,50,20,12,65,3,14,0,0,0,403,59,41,29,2,5,358,54,157,50,16,38,213,37,29,12,0,11
2021-09-20,174,20,26,2,0,0,237,6,50,69,2,10,249,42,48,25,13,12,258,31,62,60,11,29,213,36,23,52,20,11,65,3,14,1,0,0,403,59,41,29,2,5,345,55,159,46,15,35,212,31,29,13,0,11
2021-09-21,174,20,26,3,0,0,242,6,50,70,2,10,249,42,48,28,12,12,337,31,66,82,10,30,213,36,23,55,20,11,65,3,14,1,0,0,403,59,41,25,2,4,334,56,160,42,14,34,211,26,29,12,0,11
2021-09-22,174,20,26,3,0,0,242,6,50,68,2,9,249,42,45,20,10,9,416,31,70,103,11,30,213,36,23,57,19,10,65,3,14,1,0,0,403,59,41,25,2,3,330,57,161,37,17,34,214,26,29,9,0,11
2021-09-23,174,20,26,3,0,0,242,6,50,65,2,10,249,42,48,27,10,11,394,31,72,124,11,28,213,36,23,51,18,8,65,3,14,1,0,0,402,59,41,23,1,2,349,60,161,38,18,35,214,26,29,11,0,13
2021-09-24,173,20,26,3,0,0,242,6,50,63,1,11,244,42,47,25,10,13,372,31,73,146,12,29,213,36,23,45,16,8,65,3,14,1,0,0,400,58,42,23,1,2,353,63,161,39,18,35,213,26,30,9,0,13
2021-09-25,173,20,26,2,0,0,243,6,50,62,1,11,238,41,45,22,13,12,351,31,74,131,12,28,213,36,23,43,15,8,65,3,14,2,0,0,397,58,44,23,1,1,355,63,160,35,19,36,213,27,30,9,0,12
2021-09-26,172,20,26,2,0,0,244,6,50,62,1,10,233,40,44,21,13,11,329,31,74,115,11,30,213,36,23,38,16,9,65,3,14,2,0,0,393,59,46,21,1,0,359,63,159,36,18,38,212,27,29,9,1,12
2021-09-27,171,20,26,2,0,0,244,6,50,63,1,9,228,40,43,18,13,11,307,31,76,97,12,30,213,36,23,35,15,9,65,3,14,2,0,0,391,58,47,21,1,0,375,66,162,39,18,39,212,27,30,8,1,12
2021-09-28,173,20,26,1,0,0,244,6,50,68,2,10,228,40,43,23,13,9,285,31,78,79,14,30,213,36,23,31,15,8,65,3,14,2,0,0,382,56,45,18,1,0,391,66,162,46,20,37,211,27,30,8,2,11
2021-09-29,174,20,26,2,0,0,244,6,50,65,2,9,228,40,43,22,13,10,285,31,76,77,13,29,213,37,22,28,16,7,65,3,14,2,0,0,381,56,45,21,1,2,393,66,165,52,18,39,211,27,30,9,1,12
2021-09-30,174,20,30,2,0,0,244,6,50,66,2,9,238,42,48,25,10,8,285,31,75,76,14,29,213,37,23,29,16,6,65,3,14,2,0,0,381,56,45,18,1,4,398,66,162,52,15,36,210,27,30,11,1,11
2021-10-01,174,20,35,2,0,0,253,6,50,68,1,9,249,42,48,23,9,7,295,31,76,70,13,34,200,37,23,24,17,6,37,3,12,0,0,2,380,56,45,19,1,4,391,67,158,51,19,41,210,27,30,9,1,11
2021-10-02,173,19,30,1,0,0,262,6,49,66,0,11,250,42,47,20,8,6,295,31,79,62,14,40,187,37,22,21,17,6,42,3,9,0,0,5,379,56,45,20,2,3,392,70,158,47,21,46,209,26,29,11,1,9
2021-10-03,173,19,26,2,0,0,257,6,48,63,0,11,250,42,47,19,9,5,295,31,79,56,13,45,193,37,22,16,18,6,47,3,9,0,0,4,378,56,45,21,1,3,393,71,159,46,25,44,209,26,29,10,1,9
2021-10-04,172,19,26,2,0,0,253,6,48,62,0,12,250,42,47,21,8,4,294,31,80,54,14,46,200,37,22,17,16,7,51,3,10,0,0,2,368,57,45,22,2,2,394,74,159,54,20,44,208,26,29,11,1,10
2021-10-05,172,18,26,2,0,0,248,6,45,65,0,10,235,42,43,21,6,5,286,33,81,65,14,46,206,37,22,15,12,8,56,3,10,0,0,1,357,57,45,22,2,2,394,73,158,57,20,43,208,26,29,14,1,9
2021-10-06,162,18,25,1,1,0,253,6,48,59,0,7,220,42,47,25,9,6,253,28,79,78,11,43,214,37,22,11,9,6,61,3,11,0,0,0,355,57,45,23,2,3,401,77,155,77,27,50,215,34,29,17,4,6
2021-10-07,151,18,25,0,1,1,253,6,50,53,0,8,215,42,45,32,6,6,220,22,80,61,11,46,213,37,22,10,5,5,61,3,11,0,0,0,351,57,45,23,2,4,401,81,153,85,34,58,222,41,29,14,8,2
2021-10-08,151,17,25,0,1,1,253,6,50,54,1,8,209,42,44,30,9,7,229,26,81,60,10,46,213,37,22,11,5,5,61,3,11,0,0,0,354,57,46,22,1,4,402,78,151,86,33,55,221,36,29,20,6,4
2021-10-09,150,17,25,0,1,0,247,6,50,58,1,9,214,42,44,27,8,8,225,31,80,60,12,41,213,37,22,13,8,4,61,3,11,2,0,0,354,57,46,23,4,4,402,75,158,74,28,48,214,31,29,18,3,7
2021-10-10,150,17,25,0,1,0,244,6,50,56,1,10,218,42,44,28,8,10,220,30,80,59,12,36,213,37,22,15,11,3,61,3,11,4,0,0,352,57,46,22,8,4,402,74,164,62,24,42,206,26,29,15,1,6
2021-10-11,149,18,25,1,1,0,243,6,50,52,1,9,209,42,43,33,8,10,216,30,79,61,11,34,213,37,22,13,9,4,61,3,11,4,0,0,362,59,48,22,12,4,398,75,163,79,24,43,205,26,29,16,1,7
2021-10-12,158,19,25,0,1,0,242,6,50,55,2,8,218,42,42,17,7,8,234,31,81,63,11,35,213,37,22,13,10,5,61,3,11,3,0,0,366,58,46,23,15,5,404,76,163,68,25,47,203,26,29,20,2,5
2021-10-13,168,19,25,0,1,0,242,6,48,54,2,8,227,42,41,16,9,7,253,31,80,65,11,35,213,37,22,13,12,5,61,3,11,2,0,0,366,57,46,23,14,5,404,78,162,58,25,45,202,26,29,16,2,7
2021-10-14,168,20,25,1,1,0,241,6,48,56,2,8,227,42,44,18,11,7,255,29,84,71,10,38,213,37,22,13,13,6,61,3,11,2,0,0,367,57,46,21,12,4,385,78,156,56,22,44,200,26,29,16,1,5
2021-10-15,154,20,25,2,1,0,243,6,48,58,2,7,227,42,44,19,8,7,256,27,83,67,10,41,200,37,22,12,12,6,32,3,10,0,0,1,363,58,47,20,11,4,370,79,150,53,21,54,200,26,29,14,0,4
2021-10-16,141,20,25,2,1,0,246,6,48,55,2,5,227,42,44,20,8,6,256,28,83,68,10,42,188,37,22,11,11,6,41,3,10,2,0,2,360,60,47,21,9,4,374,79,153,54,20,64,200,26,29,11,0,6
2021-10-17,141,20,25,1,1,0,246,6,48,55,2,5,227,42,44,18,9,6,255,28,83,68,11,39,194,37,22,11,10,6,50,3,11,3,0,1,349,60,47,20,8,4,378,78,154,56,24,59,200,26,29,12,0,6
2021-10-18,140,20,24,1,2,0,246,6,48,56,2,6,227,42,44,21,6,4,255,27,85,74,10,38,201,37,22,10,8,5,59,3,11,4,0,0,347,61,47,19,6,3,381,78,155,61,27,59,200,26,29,12,1,6
2021-10-19,146,20,24,1,2,0,249,6,48,54,2,6,217,42,44,25,6,5,255,31,85,68,11,35,207,37,22,9,7,5,60,3,11,5,0,0,354,61,46,18,5,3,384,77,156,68,22,61,200,26,29,10,1,7
2021-10-20,145,20,24,1,2,0,252,6,48,52,2,8,208,42,44,32,6,8,238,35,82,86,14,36,213,37,22,15,7,6,61,3,11,3,0,0,353,61,46,23,3,2,390,82,160,90,25,66,208,33,31,16,6,5
2021-10-21,145,21,24,1,2,1,255,6,48,49,2,10,215,41,41,28,6,10,222,35,81,90,17,38,213,37,22,21,7,6,61,3,11,3,0,0,353,61,46,23,3,0,397,86,157,103,28,67,215,40,33,21,12,4
2021-10-22,145,20,24,1,2,1,252,6,48,55,2,10,226,45,43,15,6,10,222,32,82,93,18,38,213,37,22,22,6,7,61,3,11,3,0,0,352,61,46,23,2,0,406,87,156,89,30,65,215,40,35,24,12,6
2021-10-23,144,21,24,0,2,1,248,6,48,62,2,9,218,42,44,25,6,9,222,28,82,108,15,39,213,37,22,24,10,10,52,3,10,3,0,0,354,57,44,23,3,1,404,87,161,113,33,62,215,40,37,28,13,8
2021-10-24,144,21,24,0,2,1,251,6,48,68,1,9,209,42,44,35,7,9,222,25,82,111,13,39,213,37,23,25,14,12,52,3,9,2,0,0,352,58,43,23,4,1,404,88,158,107,36,60,215,40,39,31,13,7
2021-10-25,144,21,24,1,2,1,249,6,48,65,2,10,209,42,44,37,8,9,226,25,83,108,15,42,213,37,23,24,15,12,52,3,10,4,0,0,352,60,45,21,5,0,428,88,158,114,33,59,217,38,40,27,9,9
2021-10-26,144,21,24,2,2,1,244,6,48,62,2,8,218,42,44,27,6,8,205,28,79,83,13,36,214,37,22,16,10,10,61,3,10,2,0,0,362,63,48,18,6,2,452,88,154,96,31,54,210,32,34,22,6,8
2021-10-27,136,20,24,1,2,1,244,6,48,59,2,9,227,42,44,30,5,6,206,28,75,58,12,30,213,37,22,7,6,9,61,3,11,1,0,0,352,61,46,16,6,3,461,88,149,94,29,49,202,26,29,18,2,7
2021-10-28,128,20,24,0,2,1,244,6,48,58,2,9,218,42,44,27,6,8,215,32,75,73,13,24,213,37,22,6,5,8,61,3,11,2,0,0,352,61,46,14,4,3,465,88,148,88,30,48,202,26,29,17,1,6
2021-10-29,136,20,24,0,2,1,244,6,48,54,2,9,209,42,47,29,6,9,215,37,77,76,14,26,213,37,22,7,5,6,61,3,11,1,0,0,352,61,46,15,2,4,465,87,148,87,31,52,193,26,29,17,2,4
2021-10-30,144,20,24,0,2,1,244,6,48,50,2,9,209,42,46,28,7,9,205,37,76,56,15,27,214,37,22,4,5,6,61,3,11,0,0,0,352,61,46,13,2,4,460,88,146,94,31,54,202,26,29,18,2,4
2021-10-31,144,20,24,0,2,1,241,6,48,53,2,9,209,42,45,26,8,9,210,37,77,69,13,28,213,37,22,4,4,7,61,3,11,0,0,0,352,61,46,10,2,5,457,88,146,90,31,51,203,26,29,15,2,4
2021-11-01,144,20,24,0,2,1,240,6,48,56,2,9,209,42,44,25,10,9,215,37,78,77,11,32,213,37,22,5,3,8,61,3,11,0,0,0,352,61,46,9,1,5,453,88,145,95,33,51,204,26,29,16,2,4
2021-11-02,144,20,24,0,2,1,240,6,48,59,2,9,209,42,44,25,10,10,215,37,79,79,11,35,210,37,22,5,3,8,61,3,11,0,0,0,352,61,46,9,1,6,450,88,145,93,34,54,205,34,29,18,3,4
2021-11-03,144,20,24,0,1,1,241,6,48,58,2,8,209,42,44,32,9,10,215,37,78,76,12,33,213,37,22,7,3,6,61,3,11,0,0,0,352,60,46,8,1,6,452,88,145,92,35,57,213,41,29,17,3,6
2021-11-04,144,20,24,0,1,1,242,6,48,56,2,6,208,42,44,32,9,10,215,37,79,80,13,36,213,37,22,8,4,5,61,3,11,0,0,0,352,60,46,13,1,5,443,87,151,99,36,62,221,41,29,15,5,4
2021-11-05,144,20,24,0,1,1,242,6,48,53,2,6,208,42,44,32,9,8,215,30,79,83,12,34,213,37,22,9,5,4,61,3,11,0,0,0,352,59,46,17,1,5,452,88,150,92,37,64,221,41,29,17,6,2
2021-11-06,144,20,24,0,1,1,246,6,48,50,2,6,208,41,44,31,9,8,217,23,79,85,11,34,213,37,22,9,6,4,61,3,11,0,0,0,352,59,46,22,1,4,451,88,149,94,37,64,221,40,30,17,6,2
2021-11-07,144,21,24,0,1,1,250,6,48,52,2,6,208,40,44,31,9,7,219,23,81,87,9,33,213,37,22,10,6,4,61,3,11,1,0,0,352,59,46,22,0,4,451,88,148,96,37,65,221,38,31,17,6,4
2021-11-08,144,22,24,0,1,1,253,6,48,54,2,8,209,38,44,32,7,8,221,22,81,90,9,35,213,37,22,11,6,4,61,3,11,1,0,0,352,58,46,21,0,4,449,88,147,98,34,65,221,37,33,16,6,6
2021-11-09,144,22,24,0,1,1,258,6,48,56,2,8,209,37,44,31,7,8,223,22,81,92,8,35,213,37,22,11,7,4,61,3,11,1,0,0,352,58,46,20,0,3,449,88,146,99,35,65,221,36,34,16,6,6
2021-11-10,144,22,24,0,1,1,258,6,48,58,2,8,209,39,44,31,7,8,224,23,81,97,9,35,212,37,22,12,7,4,61,3,11,1,0,0,352,57,46,22,0,3,450,88,146,105,37,65,220,36,34,18,8,7
2021-11-11,144,22,24,0,1,1,257,6,48,58,2,10,209,40,44,29,8,9,226,24,82,97,11,38,211,37,22,13,8,5,61,3,11,1,0,0,352,58,46,24,1,3,450,88,147,114,39,63,218,36,35,19,8,8
2021-11-12,144,22,24,0,1,1,257,6,48,60,1,10,209,42,44,29,8,9,227,25,82,102,12,38,210,37,22,14,8,6,61,3,11,1,0,0,352,58,46,26,1,3,450,88,147,119,40,62,217,36,35,21,10,9
2021-11-13,144,22,24,0,1,1,256,6,48,57,2,10,209,42,44,27,7,10,228,25,81,105,11,35,213,37,22,14,7,6,61,3,11,1,0,0,352,59,46,27,1,3,450,88,145,119,43,63,221,40,37,25,10,8
2021-11-14,143,22,24,0,1,2,257,6,48,57,2,9,209,42,44,29,6,10,213,25,81,84,9,32,213,37,22,15,6,7,61,3,11,2,0,0,352,59,46,28,1,3,450,89,145,122,39,61,221,40,39,29,9,7
2021-11-15,144,22,24,0,1,2,257,6,48,57,2,9,209,42,44,31,8,7,223,25,80,100,10,32,213,37,22,17,7,9,61,3,11,2,0,0,352,59,46,26,1,3,450,91,147,125,40,64,221,40,39,31,8,5
2021-11-16,144,22,24,1,1,2,250,6,48,57,2,8,209,42,44,39,9,8,226,25,80,115,11,34,213,37,22,19,8,10,61,3,11,2,0,0,352,59,46,26,2,3,454,91,146,129,40,69,221,40,39,30,7,5
2021-11-17,144,22,24,1,2,1,243,6,48,58,2,9,209,42,43,35,9,8,220,25,81,108,12,35,212,37,22,18,9,12,61,3,11,4,0,0,352,58,46,26,2,3,456,91,146,138,37,74,221,40,39,28,9,6
2021-11-18,144,22,24,1,2,1,244,6,48,58,2,9,209,42,43,35,10,10,220,25,81,109,12,36,212,37,22,23,8,12,61,3,11,4,0,0,352,58,46,24,2,2,454,92,149,136,38,78,221,40,39,25,10,5
2021-11-19,144,22,24,1,2,1,245,6,48,57,2,8,209,42,43,33,10,11,221,26,81,110,14,38,211,37,22,26,8,12,61,3,11,5,0,0,352,57,46,23,3,1,454,92,152,135,40,79,221,40,39,22,12,5
2021-11-20,144,22,24,1,2,1,245,6,48,58,2,8,209,42,43,36,10,11,221,26,81,112,13,38,211,37,22,25,9,11,60,3,11,5,0,0,352,57,46,23,3,1,452,94,152,133,39,81,221,40,39,22,13,6
2021-11-21,144,22,24,1,2,1,246,6,48,56,2,8,209,42,43,36,10,11,222,25,81,111,14,38,212,37,22,24,10,10,58,3,10,6,0,0,352,57,46,23,4,1,450,94,153,135,38,80,220,39,39,23,14,8
2021-11-22,144,22,24,1,2,1,247,6,48,57,2,8,209,42,43,36,10,11,223,25,82,112,13,39,212,37,22,23,11,8,57,3,10,7,0,0,352,57,46,24,4,1,449,96,152,132,37,80,220,39,39,23,15,9
2021-11-23,144,22,24,1,2,1,249,6,48,57,2,9,209,42,44,37,8,10,224,23,83,113,13,42,212,37,23,22,12,8,56,3,10,7,0,0,352,56,46,20,4,0,423,91,154,123,33,82,220,39,40,28,15,11
2021-11-24,144,22,24,1,2,1,249,6,48,59,2,9,209,42,44,40,8,10,224,23,83,113,12,42,212,37,23,21,13,7,55,3,10,7,0,0,352,56,46,20,4,0,397,86,154,123,29,83,220,39,40,28,16,12
2021-11-25,144,22,24,1,2,1,250,6,48,58,2,8,209,42,44,40,8,10,225,22,83,113,13,43,213,37,23,19,14,6,53,3,9,9,0,0,352,56,46,19,5,0,395,86,155,125,28,82,219,38,40,29,17,14
2021-11-26,144,22,24,1,2,1,250,6,48,59,2,8,209,42,44,41,8,10,225,22,83,113,12,43,213,37,23,18,15,4,52,3,9,9,0,0,352,56,46,19,5,0,422,96,154,133,32,82,219,38,40,29,18,15
2021-11-27,149,20,24,1,1,1,250,6,48,59,2,7,209,42,44,42,8,10,225,22,83,112,13,43,213,37,23,23,14,5,52,3,9,8,0,0,340,55,44,20,4,0,450,105,158,135,34,88,219,38,40,29,19,12
2021-11-28,154,18,24,1,0,1,250,6,50,58,2,8,209,42,44,41,8,11,227,22,82,115,14,42,213,37,23,26,14,6,52,3,9,9,0,0,337,55,42,23,5,1,456,101,160,137,36,90,219,38,40,28,18,9
2021-11-29,150,18,24,1,0,1,250,6,51,58,2,9,209,42,44,43,8,14,228,22,82,114,13,42,213,37,23,25,15,7,52,3,9,8,0,0,333,55,42,26,5,2,456,105,166,136,37,96,219,38,40,28,16,10
2021-11-30,152,18,23,0,0,1,245,8,53,59,1,9,209,42,44,40,7,14,223,22,82,107,12,41,213,37,22,28,15,8,52,3,9,7,0,1,339,55,44,29,5,4,454,109,166,129,36,100,219,40,40,25,17,10
2021-12-01,154,18,24,0,0,1,245,10,54,59,0,10,206,42,44,43,9,15,222,25,81,103,13,42,213,37,22,27,16,9,52,3,9,6,0,2,334,55,46,31,6,3,452,109,166,137,38,101,221,38,40,25,16,11
2021-12-02,154,18,26,1,0,1,245,9,55,55,1,10,206,42,44,43,9,15,225,25,81,109,12,41,213,37,22,27,18,8,52,3,9,6,0,2,343,56,46,36,4,4,465,106,166,131,39,95,221,38,40,26,15,12
2021-12-03,154,18,29,0,0,1,246,8,56,58,2,10,206,42,46,49,7,15,223,25,81,104,14,42,212,37,22,26,15,8,52,3,9,4,0,2,352,57,46,40,3,4,467,105,166,134,39,95,221,44,40,32,15,13
2021-12-04,154,18,29,0,0,0,246,8,53,57,2,10,206,42,48,50,9,18,221,26,82,97,15,39,207,37,22,26,11,7,52,3,9,6,0,2,352,57,46,38,3,4,462,104,164,138,41,92,221,44,40,33,16,14
2021-12-05,154,18,29,0,0,0,245,7,49,52,2,8,206,42,48,52,8,17,221,26,83,95,15,41,207,37,22,24,8,7,52,3,9,6,0,2,352,57,46,35,4,4,476,108,167,138,38,90,221,44,40,31,17,15
2021-12-06,154,18,29,0,0,0,245,6,46,46,2,9,206,42,48,52,9,17,220,25,83,91,12,39,212,37,22,27,10,6,46,3,9,6,0,1,352,57,46,30,3,5,467,107,167,134,40,90,221,44,40,33,17,14
2021-12-07,154,18,30,0,0,0,245,6,46,50,1,9,206,42,47,51,9,15,221,26,83,99,14,39,212,37,22,23,8,5,46,3,9,7,0,1,352,57,46,26,2,6,475,108,165,158,42,95,221,44,40,40,15,14
2021-12-08,154,18,31,0,0,1,244,5,46,53,2,9,206,42,47,46,8,12,221,26,83,94,14,36,212,37,22,28,8,6,46,3,9,8,0,1,362,59,48,30,1,6,477,108,164,158,38,100,221,44,40,46,13,14
2021-12-09,154,19,32,2,0,1,238,7,46,51,2,10,205,39,44,48,11,15,221,28,83,98,17,37,212,37,22,27,6,7,46,3,9,9,0,1,352,57,46,32,1,6,482,110,168,161,42,101,221,44,40,44,15,15
2021-12-10,154,18,29,4,0,1,233,9,46,49,2,10,205,39,45,55,10,14,221,25,83,106,14,37,212,37,22,22,8,8,46,3,9,10,0,1,352,57,46,30,1,6,461,110,172,161,45,99,221,44,40,47,14,16
2021-12-11,155,18,29,4,0,1,234,8,46,47,2,10,205,38,45,54,10,12,221,25,83,110,9,38,212,37,22,18,9,8,46,3,9,10,0,2,350,57,46,29,0,6,479,110,172,170,46,97,221,44,40,45,15,16
2021-12-12,156,18,29,4,0,1,234,6,46,45,2,10,206,37,44,53,10,14,211,25,83,113,7,38,212,37,22,18,9,7,46,3,9,12,0,2,350,57,46,28,1,6,481,114,172,177,48,95,221,46,40,42,14,15
2021-12-13,156,18,29,4,0,1,235,5,46,49,2,9,208,38,46,55,12,14,221,25,84,117,10,40,212,37,22,17,8,8,46,3,9,13,0,2,350,57,46,26,1,7,500,117,171,190,49,100,221,45,40,38,16,17
2021-12-14,156,18,28,3,0,2,235,5,46,53,2,10,201,40,47,60,12,14,221,25,85,120,12,42,203,37,22,17,9,9,46,3,9,13,0,2,350,57,46,27,2,6,497,116,169,184,48,105,221,44,40,40,18,20
2021-12-15,156,18,28,2,0,2,236,5,46,58,2,10,193,40,47,54,12,15,221,25,83,118,15,42,212,37,22,15,8,8,47,3,9,15,0,3,350,57,46,27,3,6,500,117,170,197,51,103,221,44,40,40,16,22
2021-12-16,156,18,28,2,0,2,236,5,46,64,3,11,193,40,47,53,13,15,222,25,83,115,14,43,212,37,22,17,8,9,49,3,9,16,0,3,350,57,46,30,4,6,502,118,172,201,53,101,213,44,40,37,17,21
2021-12-17,156,18,28,3,0,2,235,5,46,60,3,11,193,40,47,47,11,16,222,25,83,120,14,42,212,37,22,17,10,10,49,3,9,18,0,3,350,57,46,34,5,6,505,118,174,211,50,98,221,44,40,36,18,20
2021-12-18,158,22,28,3,2,2,235,5,46,58,3,12,193,40,47,42,11,15,212,26,83,118,15,38,212,37,22,14,12,11,49,3,9,20,0,2,350,57,46,33,5,6,505,118,172,229,56,101,221,44,42,42,19,22
2021-12-19,158,22,28,4,2,3,235,5,46,57,2,12,193,40,47,45,12,15,222,25,83,116,18,35,212,37,22,11,14,10,49,3,9,21,0,3,349,56,46,29,5,6,506,117,169,221,62,104,227,44,45,45,16,25
2021-12-20,158,22,28,4,2,3,236,5,46,57,2,13,192,44,43,48,15,14,222,26,82,119,20,38,212,37,22,11,13,11,49,3,9,23,0,2,349,56,46,29,5,7,511,114,172,232,58,102,227,44,45,50,13,26
2021-12-21,158,22,28,4,2,2,233,5,44,51,2,12,193,44,43,52,14,11,225,26,82,127,20,40,212,37,22,10,12,11,49,3,9,21,0,2,349,55,46,29,5,8,519,117,178,242,56,108,227,44,45,54,12,24
2021-12-22,158,22,28,3,2,2,230,5,46,56,1,10,193,41,47,59,13,14,221,29,83,117,23,40,212,37,22,15,12,10,48,3,9,17,0,2,349,56,46,27,5,8,513,120,183,228,56,115,230,47,45,50,14,24
2021-12-23,158,22,28,3,2,2,230,5,46,62,1,12,193,44,47,51,15,18,221,27,82,114,20,40,211,37,22,14,11,9,48,3,9,14,0,2,350,57,47,28,4,8,520,120,184,243,57,119,226,46,46,48,16,24
