,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
47,,,,,,,,11.5,7.75,1.5,7.0,12.0,1.75,7.75,7.0,6.0,13.75,4.25,11.0,21.75,18.5,30.25,31.25,50.75,69.0,68.25,76.5,95.25,83.75,77.5,72.0,65.5,92.25,75.25,69.25,49.25,49.0,47.75,41.25,46.0,45.0,41.0,63.75,68.25,67.0,58.25,41.25,27.5,26.0,22.75,33.75,34.5,22.25,29.25,21.0,42.5,45.0,55.5,,,
48,,,,,,,,13.0,8.25,1.75,5.0,8.5,2.75,5.75,8.5,7.0,16.5,4.0,10.75,26.25,21.5,27.5,35.25,53.5,69.25,62.25,82.25,95.75,77.5,78.25,80.75,54.75,93.0,78.0,64.5,59.75,53.0,52.0,39.25,44.25,54.5,42.75,65.75,69.25,74.5,64.0,36.75,32.5,23.0,25.5,31.5,28.75,20.5,30.5,22.75,37.0,47.75,58.0,,,
49,,,,,,,,,5.5,1.75,5.75,8.75,3.0,6.25,6.75,4.75,12.0,6.75,10.25,24.0,22.5,29.25,30.5,49.0,62.25,61.5,77.75,92.75,88.75,69.25,73.75,59.75,91.75,73.75,67.0,45.25,45.75,51.0,38.75,44.75,44.0,46.0,56.25,67.5,84.75,59.0,30.75,38.0,20.75,25.0,29.25,36.25,19.5,35.75,21.25,36.25,35.75,41.75,50.75,,
50,,,,,,,,,5.5,3.25,3.5,3.75,3.25,3.5,3.5,8.25,13.0,9.0,6.0,18.75,21.75,21.5,34.25,44.25,43.0,59.5,91.25,96.0,66.75,78.5,74.75,72.0,88.0,67.0,58.5,51.25,49.0,55.75,48.5,47.75,37.25,54.75,63.75,65.25,79.75,53.0,36.0,31.5,29.75,23.75,25.0,25.5,31.5,15.0,19.75,21.5,34.25,46.0,67.5,,
51,,,,,,,,,10.25,5.25,4.5,7.25,5.25,4.0,6.25,7.5,14.75,4.75,7.25,17.5,23.25,24.25,34.75,54.5,67.25,83.25,81.5,93.75,83.5,87.75,78.25,76.5,83.5,83.5,86.0,53.75,47.25,59.5,39.75,36.0,48.25,62.0,62.5,77.5,78.25,69.25,54.0,36.25,32.75,32.5,21.75,23.0,28.0,23.25,28.0,37.0,58.5,58.25,50.25,,
52,,,,,,,,,9.5,2.5,6.0,7.5,3.0,7.0,7.5,8.0,14.75,6.25,7.25,19.0,29.25,28.75,31.25,54.25,75.0,75.0,88.25,93.5,89.5,77.0,78.25,65.25,93.75,84.5,78.75,66.0,58.25,57.5,42.25,45.25,53.5,52.25,60.75,76.5,71.25,67.75,45.5,33.75,30.0,30.75,25.5,33.5,28.5,33.0,21.5,37.0,50.5,59.0,55.5,,
53,,,,,,,,,9.5,3.5,2.75,8.5,5.25,3.5,4.25,10.5,13.5,3.75,8.75,18.0,21.5,27.75,37.25,57.75,62.0,74.25,77.0,99.25,78.25,78.0,66.5,65.25,79.75,84.25,68.0,54.0,44.75,56.25,45.5,32.25,44.75,52.75,56.0,70.5,73.25,65.75,47.5,29.25,28.75,28.5,30.0,24.0,30.5,24.0,24.0,31.75,52.0,54.25,43.25,,
54,,,,,,,,,7.75,2.0,5.0,8.5,2.75,6.5,4.25,6.5,15.5,7.75,12.25,22.0,22.75,28.25,35.0,48.25,61.5,64.75,79.5,85.75,85.25,76.0,78.5,68.0,96.75,77.5,63.25,52.5,44.75,50.75,36.5,46.0,50.25,41.75,63.75,64.0,70.75,63.0,37.75,33.75,18.5,26.75,32.5,34.25,23.25,39.25,29.75,38.25,39.25,45.75,44.5,,
55,,,,,,,,,7.0,2.25,6.0,6.5,4.75,6.0,8.75,9.0,15.5,7.0,12.75,24.75,20.5,29.25,26.25,48.25,71.25,65.0,72.5,89.25,86.0,78.25,85.0,74.5,100.0,81.5,63.75,55.0,49.25,52.0,37.5,46.25,51.75,42.75,62.25,60.5,69.0,59.25,29.0,40.5,28.5,28.0,29.0,27.5,20.5,30.75,20.75,38.0,46.0,58.5,54.25,,
56,,,,,,,,,3.5,4.75,5.5,5.5,3.25,5.0,3.75,6.25,11.5,9.0,6.75,22.5,21.25,29.75,33.25,44.75,47.0,67.5,93.25,90.5,75.75,87.25,83.0,80.75,92.25,71.25,49.5,55.5,46.0,51.0,48.25,47.0,46.5,58.75,65.5,77.75,84.5,49.75,35.5,28.0,31.75,18.25,26.0,20.5,26.0,13.75,19.0,23.25,41.0,55.5,68.25,50.5,
