,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26
31,,,,54.0,22.5,0.0,0.0,44.0,0.0,12.75,0.0,19.5,0.0,56.75,25.75,28.75,8.5,56.75,53.0,32.5,34.25,40.75,0.0,43.5,22.5,11.0,14.75,0.0,11.75,18.75,53.5,13.75,21.25,0.0,0.0,4.75,39.0,4.25,0.0,13.5,33.5,0.0,0.0,30.25,14.5,33.25,7.25,4.25,23.75,6.0,0.0,9.75,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,53.0,0.0,0.0,0.0,9.25,37.5,26.75,8.75,8.5,40.25,45.0,43.75,15.25,74.0,48.0,19.75,17.25,26.25,48.75,63.5,10.75,0.0,38.25,18.0,23.25,0.0,0.0,0.0,0.0,8.25,0.0,16.5,0.0,0.0,8.25,0.0,21.5,0.0,0.0,0.0,34.5,42.5,24.25,0.0,7.75,0.0,0.0,0.0,0.0,8.25,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,54.5,22.5,0.0,0.0,44.0,0.0,13.25,0.0,19.5,0.0,56.75,26.25,28.75,8.5,56.75,53.0,32.5,34.75,41.0,0.0,45.75,22.5,11.0,14.75,0.0,11.75,19.0,53.75,14.25,21.25,0.0,0.0,4.75,39.0,4.25,0.0,13.5,33.75,0.0,0.0,30.25,14.5,33.75,7.75,4.25,24.25,6.0,0.0,9.75,17.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,45.25,22.0,0.0,0.0,61.5,18.25,20.0,14.5,30.0,0.0,64.25,34.25,28.5,23.75,82.75,73.75,46.5,53.5,19.75,0.0,53.0,32.0,0.0,13.75,0.0,6.75,0.0,12.0,19.5,11.75,0.0,0.0,6.25,14.25,7.0,0.0,11.0,38.75,0.0,0.0,46.25,17.5,21.75,19.5,23.0,8.25,6.0,0.0,12.25,0.0,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,0.0,16.75,0.0,15.25,22.5,21.0,14.25,7.75,27.0,20.0,22.25,55.25,16.75,52.0,15.25,16.0,93.5,6.75,15.25,0.0,16.5,6.25,5.75,0.0,5.75,0.0,0.0,19.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,12.25,8.0,0.0,22.25,27.75,21.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,0.0,33.25,0.0,0.0,37.25,40.5,0.0,0.0,35.0,42.25,77.0,62.25,14.5,73.75,52.0,22.75,54.25,11.25,43.0,0.0,0.0,11.0,21.0,0.0,8.25,17.5,0.0,19.0,0.0,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,5.5,23.0,11.25,0.0,53.5,36.5,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,0.0,29.25,0.0,12.0,52.25,15.25,7.0,18.0,36.25,33.75,55.75,38.0,11.0,42.0,55.5,6.5,50.25,39.5,47.75,0.0,14.5,26.75,17.0,19.5,0.0,0.0,0.0,0.0,12.0,0.0,15.5,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,29.25,31.5,19.5,0.0,5.25,0.0,0.0,10.75,0.0,26.5,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,59.75,0.0,0.0,49.0,17.75,15.75,0.0,41.0,0.0,28.75,44.5,37.75,26.0,63.0,71.25,50.25,64.25,17.5,0.0,26.5,25.0,11.5,16.5,0.0,14.75,8.0,30.5,16.75,9.5,0.0,0.0,17.5,17.75,13.75,0.0,0.0,36.0,0.0,0.0,46.5,12.75,14.75,0.0,7.0,9.75,0.0,0.0,19.0,9.0,31.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,35.25,0.0,0.0,41.0,14.25,9.75,6.75,22.5,0.0,52.0,36.25,26.25,40.75,46.75,56.0,48.25,48.5,0.0,0.0,20.0,27.5,0.0,25.0,0.0,0.0,11.75,35.5,0.0,35.5,0.0,0.0,20.5,15.0,27.75,0.0,13.0,31.75,0.0,0.0,23.5,13.5,29.75,28.25,28.25,13.75,0.0,0.0,0.0,9.25,13.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,35.25,0.0,0.0,41.25,14.25,9.75,7.5,23.25,0.0,53.25,35.75,26.5,41.75,47.25,58.25,48.75,49.75,0.0,0.0,19.75,28.25,0.0,25.5,0.0,0.0,11.75,36.25,0.0,36.0,0.0,0.0,20.75,15.5,28.25,0.0,13.25,32.25,0.0,0.0,23.5,13.5,29.75,28.5,27.75,13.75,0.0,0.0,0.0,9.25,13.25,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
