,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
29,,,13.0,23.25,15.5,54.5,71.5,54.5,71.0,53.5,28.5,22.0,16.5,13.75,12.75,14.75,19.25,16.0,20.25,23.0,11.5,10.5,14.0,5.25,16.0,12.75,11.5,12.5,12.5,31.5,22.25,16.5,14.75,14.0,17.75,10.0,17.0,12.5,8.5,15.25,24.25,23.5,34.75,61.25,64.75,100.0,68.75,44.75,33.0,21.0,23.0,14.5,12.25,,,,,,
30,,,20.5,28.75,21.25,54.5,73.25,59.75,67.75,49.75,27.0,26.75,21.0,20.25,16.75,15.25,23.25,16.0,22.25,18.25,9.5,14.5,14.25,6.0,13.25,13.0,11.0,11.0,15.5,29.25,22.75,22.5,17.25,15.0,19.0,14.0,18.75,13.5,12.75,19.75,21.0,20.5,28.0,64.0,67.25,100.0,67.5,52.75,35.5,26.0,25.5,14.0,17.0,,,,,,
31,,,17.0,24.75,18.5,52.5,71.0,60.0,63.5,56.5,29.0,22.25,16.75,16.25,14.0,13.0,19.75,18.25,20.5,15.5,13.25,14.0,16.75,6.5,13.5,10.0,13.5,13.5,12.5,26.5,20.75,19.5,17.25,17.5,20.0,9.25,17.25,11.25,8.0,17.5,22.25,21.25,31.75,60.25,59.5,100.0,67.0,43.0,35.0,23.5,23.5,18.25,14.75,,,,,,
32,,,23.25,17.75,22.0,59.75,97.0,70.5,62.75,43.5,43.0,22.5,19.5,15.75,15.0,11.25,13.75,11.25,17.5,20.5,11.25,14.0,9.0,13.75,10.75,8.5,10.75,12.25,19.0,16.25,21.5,16.75,20.0,15.5,15.0,14.0,11.0,8.25,14.0,16.25,23.25,20.5,48.25,67.25,91.0,95.25,52.0,50.75,40.25,24.5,20.5,15.75,12.5,,,,,,
33,,,15.75,17.75,20.25,57.25,78.5,64.75,62.25,47.25,31.25,22.0,18.25,17.5,14.5,11.5,15.5,17.25,18.25,19.5,11.25,17.75,10.5,9.0,12.75,11.5,12.75,12.75,15.0,22.0,20.25,20.75,19.75,15.75,17.25,12.75,15.0,7.75,10.75,14.0,25.5,23.25,43.25,58.0,76.5,95.5,55.75,46.75,33.5,24.75,19.5,14.25,14.0,,,,,,
34,,,16.25,25.0,17.25,61.75,75.5,60.75,71.25,55.25,29.5,25.25,18.75,19.0,13.25,18.25,27.5,16.5,21.75,20.5,12.0,14.25,14.25,7.75,17.75,13.25,10.5,10.75,16.75,28.25,19.0,25.5,20.75,17.25,20.5,13.75,15.75,13.0,10.25,18.75,21.5,21.25,34.5,65.25,69.25,100.0,72.25,50.75,31.75,24.5,21.75,13.25,18.0,,,,,,
35,,,15.25,23.0,18.25,58.5,89.0,68.0,75.0,55.75,31.0,29.5,24.0,16.75,15.5,12.75,20.0,22.75,20.75,22.75,12.75,15.5,16.5,7.75,19.5,12.75,8.25,12.0,14.5,30.0,24.75,24.25,22.0,19.75,23.75,13.0,18.0,16.25,13.25,22.75,25.5,29.75,39.25,66.75,78.0,98.75,73.0,50.25,36.0,21.75,21.75,17.5,14.5,,,,,,
36,,,13.75,22.75,17.5,57.75,73.0,59.0,63.5,52.5,26.0,21.75,22.5,17.25,14.0,14.5,22.25,20.25,16.5,20.75,10.75,15.0,11.25,9.25,15.25,12.5,10.75,11.25,13.75,27.0,16.75,19.25,19.0,13.75,17.5,11.75,15.75,11.75,12.25,15.75,19.0,20.0,28.5,60.0,67.0,100.0,74.5,47.25,28.0,24.5,24.75,18.5,11.5,,,,,,
37,,,,23.25,17.75,52.75,69.5,65.5,67.5,51.5,22.75,25.0,19.0,15.75,15.25,15.25,20.0,18.25,20.75,21.25,12.75,9.75,15.75,8.75,13.5,9.0,11.0,11.5,12.5,27.75,17.75,20.25,17.25,19.0,20.5,10.75,17.75,12.0,8.25,18.75,21.75,22.0,35.25,56.5,61.75,100.0,70.25,48.75,27.0,22.0,23.0,13.0,11.75,11.25,,,,,
38,,,,18.0,26.5,64.5,97.25,72.75,60.0,47.75,40.25,23.75,20.75,18.5,9.5,9.0,16.0,14.25,18.5,18.25,14.5,15.0,9.0,12.0,7.5,14.75,12.0,13.5,21.25,22.25,23.25,19.25,22.25,17.75,19.5,16.25,12.5,6.5,14.25,16.75,28.75,27.0,48.75,64.25,87.75,94.0,50.5,53.25,39.0,26.75,21.0,18.5,14.0,16.75,,,,,
