name_0,name_1,name_2,name_3,population,gid_0,gid_1,gid_2,gid_3
Argentina,La Pampa,Puelén,,11729,ARG,ARG.11_1,ARG.11.16_1,
Argentina,La Pampa,Quemú Quemú,,8504,ARG,ARG.11_1,ARG.11.17_1,
Argentina,La Pampa,Rancul,,10666,ARG,ARG.11_1,ARG.11.18_1,
Argentina,La Pampa,Realicó,,17526,ARG,ARG.11_1,ARG.11.19_1,
Argentina,La Pampa,Toay,,17509,ARG,ARG.11_1,ARG.11.20_1,
Argentina,La Pampa,Trenel,,5804,ARG,ARG.11_1,ARG.11.21_1,
Argentina,La Pampa,Utracán,,15150,ARG,ARG.11_1,ARG.11.22_1,
Argentina,La Rioja,Arauco,,17449,ARG,ARG.12_1,ARG.12.1_1,
Argentina,La Rioja,Capital,,227191,ARG,ARG.12_1,ARG.12.2_1,
Argentina,La Rioja,Castro Barros,,4475,ARG,ARG.12_1,ARG.12.3_1,
Argentina,La Rioja,Chamical,,15041,ARG,ARG.12_1,ARG.12.4_1,
Argentina,La Rioja,Chilecito,,58817,ARG,ARG.12_1,ARG.12.5_1,
