Manufacturer,Recipient,ISO,Source URL,Deal Date,Vaccine Name,Committed $,Secured Doses,Optioned Doses,Status,Vaccine Developer,Deal Type,Distributor
--,European Commission,SLV,https://www.reuters.com/world/europe/eu-secures-additional-100-mln-covid-19-doses-pfizerbiontech-2021-04-19/,1970-01-01 00:26:45.052800,--,--,600000000,--,--,--,Multilateral,--
--,Serbia,SRB,https://www.srbija.gov.rs/vest/en/163399/first-vaccines-against-coronavirus-to-arrive-in-serbia-by-end-december.php,1970-01-01 00:26:45.139200,--,--,1800000,--,Formalized,--,--,--
AstraZeneca,Costa Rica,CRI,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1982-costa-rica-firma-acuerdo-con-astrazeneca-para-suministro-de-vacuna-candidata-contra-el-sars-cov-2,1970-01-01 00:26:45.139200,Vaxzevria,--,1000000,--,--,AstraZeneca,--,--
--,Israel,ISR,https://www.reuters.com/article/health-coronavirus-israel-vaccine/israel-to-get-initial-pfizer-coronavirus-vaccine-shipment-on-thursday-minister-says-idUSKBN28I1F5,1970-01-01 00:26:45.225600,--,--,8000000,--,--,--,Bilateral,--
CureVac,European Commission,AUS,https://ec.europa.eu/commission/presscorner/detail/en/IP_20_2136,1970-01-01 00:26:45.571200,CVnCoV Vaccine,2664000000,225000000,180000000,--,Curevac,Multilateral,--
--,New Zealand,NZL,https://www.beehive.govt.nz/release/agreement-advanced-purchase-5-million-covid-19-vaccines,1970-01-01 00:26:45.744000,--,--,2000000,3000000,Formalized,--,Bilateral,--
--,Israel,ISR,https://www.reuters.com/article/idUSKBN27Z0F7,1970-01-01 00:26:45.830400,--,--,10000000,--,Formalized,--,Bilateral,--
AstraZeneca,Dominican Rep.,DOM,https://dominicantoday.com/dr/economy/2020/11/23/ua40m-astrazeneca-vaccines-arrive-feb-official/,1970-01-01 00:26:46.089600,Vaxzevria,40000000,10000000,--,--,AstraZeneca,--,--
--,European Commission,COL,https://www.reuters.com/article/idUSKBN28S1S0,1970-01-01 00:26:46.176000,--,--,160000000,--,--,--,Multilateral,--
--,Panama,PAN,https://www.reuters.com/world/americas/panama-buy-2-million-more-doses-pfizers-covid-19-vaccine-2021-04-21/,1970-01-01 00:26:46.262400,--,--,7000000,--,--,--,--,--
Siam Bioscience,Thailand,THA,https://www.reuters.com/article/health-coronavirus-thailand/update-1-thailand-on-track-to-distribute-locally-made-covid-19-vaccines-in-june-idUSL1N2K40FF,1970-01-01 00:26:46.348800,Vaxzevria,198000000,61000000,--,--,AstraZeneca,Bilateral,Dr. Reddy's
--,--,--,https://www.reuters.com/article/us-health-coronavirus-thailand-vaccine-idUKKBN2990O2,1970-01-01 00:26:46.348800,--,187126833,2000000,--,--,--,--,--
--,South Korea,KOR,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4516&contSeq=4516&board_id=312&gubun=ALL,1970-01-01 00:26:47.299200,--,--,6000000,20000000,--,--,--,--
--,South Korea,KOR,"http://www.xinhuanet.com/english/2021-02/16/c_139745682.htm#:~:text=S.Korea%20secures%20additional%20COVID%2D19%20vaccines%20for%2023%20mln%20people,-Source%3A%20Xinhua%7C%202021&text=SEOUL%2C%20Feb.%2016%20(Xinhua,doses%20for%2079%20million%20people.",1970-01-01 00:26:47.299200,--,--,26000000,--,Formalized,--,--,--
Pfizer/BioNTech,Brazil,BRA,https://www.gov.br/saude/pt-br/assuntos/noticias/ministerio-da-saude-fecha-acordo-com-pfizer-e-janssen-para-mais-138-milhoes-de-doses-de-vacinas-covid-19,1970-01-01 00:26:47.299200,Comirnaty,--,100000000,--,Formalized,Pfizer BioNTech,Bilateral,--
SK Bioscience,South Korea,KOR,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4516&contSeq=4516&board_id=312&gubun=ALL,1970-01-01 00:26:47.299200,Vaxzevria,--,20000000,--,--,AstraZeneca,Bilateral,Lekhim
Gamaleya Research Institute,Argentina,ARG,http://datos.salud.gob.ar/dataset/precio-unitario-de-vacunas-covid-19-adquiridas-por-el-ministerio-de-salud-de-la-nacion/archivo/47d25d2c-57fd-4fc3-b09b-64b12d96563f,1970-01-01 00:26:47.558400,Sputnik V,350000000,20000000,--,--,Gamaleya Research Institute,Bilateral,--
--,Hong Kong,HKG,https://www.reuters.com/article/idUSL1N2IR0G0,1970-01-01 00:26:47.644800,--,--,7500000,--,--,--,Bilateral,--
--,Hong Kong,HKG,https://hk.news.yahoo.com/%E6%B8%AF%E5%BA%9C%E5%B7%B2%E8%B3%BC%E8%B2%B7%E7%A7%91%E8%88%88-750-%E8%90%AC%E5%8A%91%E6%96%B0%E5%86%A0%E7%96%AB%E8%8B%97-%E9%A6%96%E6%89%B9-100-%E8%90%AC%E5%8A%91%E4%B8%8B%E6%9C%88%E6%8A%B5%E6%B8%AF-074854471.html,1970-01-01 00:26:47.644800,--,--,7500000,--,In discussion,--,Bilateral,--
