Recipient,Recipient ISO,Vaccine Name,Manufacturer,Source URL,Vaccine Developer,Donor,Donor ISO,Update Date,Doses
Macedonia,MKD,Comirnaty,Pfizer/BioNTech,https://www.usnews.com/news/health-news/articles/2021-02-14/serbia-donates-pfizer-covid-19-vaccines-to-north-macedonia,Pfizer BioNTech,Serbia,SRB,2021-02-19,8000.0
Dominica,DMA,Covishield,Serum Institute of India,https://www.republicworld.com/india-news/general-news/thank-you-india-dominica-pm-extends-gratitude-for-70000-doses-of-covid-19-vaccine.html,Serum Institute of India,India,IND,2021-02-26,70000.0
Guatemala,GTM,mRNA-1273,Moderna,https://www.aa.com.tr/en/americas/1st-vaccines-arrive-in-honduras-guatemala-from-israel/2157560,Moderna,Israel,ISR,2021-02-26,5000.0
Sierra Leone,SLE,BBIBP-CorV,Sinopharm (Beijing),http://en.nhc.gov.cn/2021-02/26/c_83062.htm,Sinopharm (Beijing),China,CHN,2021-02-26,200000.0
Suriname,SUR,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-02-26,50000.0
Suriname,SUR,Covishield,Serum Institute of India,https://www.reuters.com/article/us-health-coronavirus-suriname-vaccine/suriname-begins-coronavirus-vaccination-campaign-with-donated-doses-idUSKBN2AN2AT,Serum Institute of India,Barbados,BRB,2021-02-26,1000.0
West Bank and Gaza,PSE,Sputnik V,Gamaleya Research Institute,https://www.reuters.com/article/health-coronavirus-palestinians-vaccines/gaza-launches-covid-19-vaccinations-with-just-22000-doses-idUSKBN2AM1AN,Gamaleya Research Institute,UAE,ARE,2021-02-26,20000.0
Czech Rep.,CZE,Comirnaty,Pfizer/BioNTech,https://www.barrons.com/news/france-to-ship-vaccines-to-hard-hit-czechs-report-01614276018?tesla=y,Pfizer BioNTech,Israel,ISR,2021-02-26,5000.0
Venezuela,VEN,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/instant-article/idINL2N2L019T,Sinopharm (Beijing),China,CHN,2021-03-02,500000.0
Iran,IRN,BBIBP-CorV,Sinopharm (Beijing),https://www.aljazeera.com/news/2021/2/28/iran-receives-chinas-sinopharm-jabs-as-covid-deaths-reach-60000,Sinopharm (Beijing),China,CHN,2021-03-04,250000.0
St. Kitts and Nevis,KNA,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-08,20000.0
Saint Vincent,VCT,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-08,40000.0
Saint Lucia,LCA,Covishield,Serum Institute of India,https://twitter.com/allenmchastanet/status/1366479878548242437?s=20,Serum Institute of India,India,IND,2021-03-08,25000.0
Jamaica,JAM,Covishield,Serum Institute of India,https://twitter.com/AndrewHolnessJM/status/1369307596834959367?s=20,Serum Institute of India,India,IND,2021-03-08,50000.0
Guyana,GUY,BBIBP-CorV,Sinopharm (Beijing),https://newsroom.gy/2021/02/02/china-will-donate-sinopharm-covid-19-vaccines-to-guyana/,Sinopharm (Beijing),China,CHN,2021-03-08,20000.0
Uganda,UGA,Covishield,Serum Institute of India,https://twitter.com/IndiainUganda/status/1368549937038954496?s=20,Serum Institute of India,India,IND,2021-03-08,100000.0
Bosnia,BIH,Sputnik V,Gamaleya Research Institute,https://www.barrons.com/news/serbia-delivers-10-000-vaccine-doses-to-struggling-bosnia-01614699006,Gamaleya Research Institute,Serbia,SRB,2021-03-08,10000.0
Antigua,ATG,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-08,40000.0
DRC,COD,Covishield,Serum Institute of India,https://twitter.com/IndiainDRC/status/1367869530798718976?s=20,Serum Institute of India,India,IND,2021-03-12,50000.0
